Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,268.23924,-59.02452,270,bottom
C2,22pF,C_0805_2012Metric,274.84324,-59.02452,90,bottom
C3,1uF,C_0805_2012Metric,279.66924,-47.88,90,bottom
C4,0.1uF,C_0805_2012Metric,264.71626,-54.37124,0,bottom
C5,0.1uF,C_0805_2012Metric,274.828,-40.10152,180,bottom
C6,0.1uF,C_0805_2012Metric,278.52624,-57.11952,180,bottom
C7,10uF,C_0805_2012Metric,265.19124,-40.86352,90,bottom
C8,4.7n,C_0805_2012Metric,273.652,-28.3,90,bottom
D1,D_Small,D_SOD123,31.75,-38.481,90,bottom
D2,D_Small,D_SOD123,51.181,-38.481,90,bottom
D3,D_Small,D_SOD123,70.231,-38.481,90,bottom
D4,D_Small,D_SOD123,89.281,-38.354,90,bottom
D5,D_Small,D_SOD123,108.331,-38.354,90,bottom
D6,D_Small,D_SOD123,129.286,-38.481,90,bottom
D7,D_Small,D_SOD123,146.304,-38.481,90,bottom
D8,D_Small,D_SOD123,166.624,-38.481,90,bottom
D9,D_Small,D_SOD123,31.75,-58.547,90,bottom
D10,D_Small,D_SOD123,51.181,-58.547,90,bottom
D11,D_Small,D_SOD123,70.231,-58.547,90,bottom
D12,D_Small,D_SOD123,89.281,-58.547,90,bottom
D13,D_Small,D_SOD123,108.331,-58.547,90,bottom
D14,D_Small,D_SOD123,129.286,-58.547,90,bottom
D15,D_Small,D_SOD123,146.431,-58.547,90,bottom
D16,D_Small,D_SOD123,167.386,-58.547,90,bottom
D17,D_Small,D_SOD123,32.131,-77.597,90,bottom
D18,D_Small,D_SOD123,51.181,-77.597,90,bottom
D19,D_Small,D_SOD123,70.231,-77.597,90,bottom
D20,D_Small,D_SOD123,89.281,-77.597,90,bottom
D21,D_Small,D_SOD123,108.331,-77.597,90,bottom
D22,D_Small,D_SOD123,128.27,-77.597,90,bottom
D23,D_Small,D_SOD123,146.431,-77.597,90,bottom
D24,D_Small,D_SOD123,166.37,-77.597,90,bottom
D25,D_Small,D_SOD123,39.37,-95.377,90,bottom
D26,D_Small,D_SOD123,58.42,-95.377,90,bottom
D27,D_Small,D_SOD123,87.63,-95.377,90,bottom
D28,D_Small,D_SOD123,118.11,-95.377,90,bottom
D29,D_Small,D_SOD123,137.668,-95.377,90,bottom
D30,D_Small,D_SOD123,161.29,-95.377,90,bottom
D31,D_Small,D_SOD123,184.531,-38.481,90,bottom
D32,D_Small,D_SOD123,203.454,-38.481,90,bottom
D33,D_Small,D_SOD123,222.504,-38.481,90,bottom
D34,D_Small,D_SOD123,241.554,-38.481,90,bottom
D35,D_Small,D_SOD123,260.731,-38.354,90,bottom
D36,D_Small,D_SOD123,318.77,-38.354,90,bottom
D37,D_Small,D_SOD123,337.439,-38.354,90,bottom
D38,D_Small,D_SOD123,356.87,-38.354,90,bottom
D39,D_Small,D_SOD123,184.531,-58.547,90,bottom
D40,D_Small,D_SOD123,203.581,-58.547,90,bottom
D41,D_Small,D_SOD123,222.631,-58.547,90,bottom
D42,D_Small,D_SOD123,241.681,-58.547,90,bottom
D43,D_Small,D_SOD123,260.731,-58.547,90,bottom
D44,D_Small,D_SOD123,318.77,-57.404,90,bottom
D45,D_Small,D_SOD123,337.185,-57.404,90,bottom
D46,D_Small,D_SOD123,356.87,-57.277,90,bottom
D47,D_Small,D_SOD123,184.531,-77.597,90,bottom
D48,D_Small,D_SOD123,203.581,-77.597,90,bottom
D49,D_Small,D_SOD123,222.631,-77.597,90,bottom
D50,D_Small,D_SOD123,241.681,-77.597,90,bottom
D51,D_Small,D_SOD123,260.731,-77.597,90,bottom
D52,D_Small,D_SOD123,293.116,-74.676,270,bottom
D53,D_Small,D_SOD123,318.77,-76.327,90,bottom
D54,D_Small,D_SOD123,337.058,-76.327,90,bottom
D55,D_Small,D_SOD123,356.87,-76.327,90,bottom
D56,D_Small,D_SOD123,175.26,-95.377,90,bottom
D57,D_Small,D_SOD123,220.472,-95.377,90,bottom
D58,D_Small,D_SOD123,245.999,-95.377,90,bottom
D59,D_Small,D_SOD123,270.51,-105.537,90,bottom
D60,D_Small,D_SOD123,289.56,-105.537,90,bottom
D61,D_Small,D_SOD123,308.61,-105.537,90,bottom
D62,D_Small,D_SOD123,337.058,-95.377,90,bottom
D63,D_Small,D_SOD123,356.743,-95.377,90,bottom
F1,500mA,Fuse_0805_2012Metric,267.33,-36.33,90,bottom
R1,10k,R_0805_2012Metric,281.82,-56.41952,90,bottom
R2,22,R_0805_2012Metric,287.016,-41.21,90,bottom
R3,22,R_0805_2012Metric,284.516,-41.21,90,bottom
R4,10k,R_0805_2012Metric,263.03,-40.85,270,bottom
R5,330,R_0805_2012Metric,280.225,-67.07632,0,bottom
R6,5.1K,R_0805_2012Metric,293.624,-24.81,180,bottom
R7,330,R_0805_2012Metric,285.75,-67.07632,0,bottom
R8,5.1K,R_0805_2012Metric,274.32,-24.8,0,bottom
R9,330,R_0805_2012Metric,291.275,-67.07632,0,bottom
R10,1M,R_0805_2012Metric,275.632,-28.28,90,bottom
RESET1,SOD-123,D_SOD-123,307.67,-55.88952,180,bottom
U1,ATmega32U4-A,QFN_TQFP-44_Combined,271.03324,-47.97552,180,bottom
U2,SRV05-4,SOT-23-6,285.72,-37.396,180,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,271.54124,-59.02452,0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,285.750000,-22.080000,180.000000,top